Sentiment,Tweet
negative,@USAirways going to miss my connection due to another tarmac delay - on US5268 then 4050 - need a flight home today please!
neutral,Please explain …….. “@JetBlue: Our fleet's on fleek. http://t.co/vOsIzh17sl”
neutral,"@AmericanAir is the new 9:45 time confirmed or it may get Cancelled Flightled? Traveling with kids, need to be certain. Thx"
negative,@USAirways @AmericanAir 2hrs Late Flightr finally taking off😂😂😂
negative,@united and after being on hold for an hour the day before to sort it out and being told it's fine it should be fine when you arrive to fly
positive,@SouthwestAir I just wanna say you're incredible for sending people to see their idols. Sooooo kind and amazing💖 #DestinationDragons
positive,@JetBlue thanks. Line moved quick. Already done.
negative,@united officially has the most inefficient boarding procedure. There is no reason it should take 45 mins to board a plane!
neutral,@united - it is possible to make a ticket change via Twitter? Traveling internationally and can't make calls... Thanks in advance!
positive,“@united: @SonyaSloanMD Happy to have had you on board. Please share details here: http://t.co/2TrgEMteBZ ^KP” Done!
negative,@JetBlue what's up w flt 4? Brothers fiancé sitting on board for 30mins w tech  issues.
negative,"@SouthwestAir I appreciate the response, but the constant changing of the flight time is frustrating to say the least. #toughtomakeplans"
positive,@AmericanAir @dfwairport me too!!  LOVE LIVING SO CLOSE SO I ALWAYS HAVE GREAT VIEWS!
negative,@USAirways flight 728 from PHL to London has been sitting on the tarmac for 46min w/NO further update from the pilot. what gives???
negative,@USAirways you airline is doing rather poor right now. In SLC waiting to take off. Was suppose to take off now 2 hours and 3 minutes ago!
negative,@USAirways not patient - originally 11:51 and now 4:41.
neutral,@united can you please follow for a DM?
neutral,@SouthwestAir no thanks
positive,"@united Ill check it out, appreciate the response, regardless."
negative,@USAirways I waited customer service 32 minutes on the phone w/o response. Had to hung up in the end since my battery died due to waiting!
negative,@AmericanAir - where are my bags? Baggage claim C25 or C26 (flt# 959)?? I can see the plane from here? Why does it take 25 min???
negative,@united the drunk guy you threw out of flight UA936 4hrs ago is better off than the rest of us held up for 5hrs in the plane without food.
positive,"@VirginAmerica love you guys, but pls get some direct routes LAS to AUS!"
positive,"@JetBlue thanks for getting me to Boston early for @TuftsEnergyConf ""Breaking Barriers To a Clean Energy Future"""
negative,@JetBlue Landed at MCO before 9am and still don't have my bag. You were supposed to give it to Disney's Magical Express this AM.I am livid!
neutral,YO! @InternJohnRadio @mrerickv  give @SouthwestAir their plane back.  They're mad &amp; threatening to take away my Companion Pass. #Luv
negative,@united Everyone around us is sitting with their friends and family members. They booked their tickets in October and December. We bought
negative,@USAirways @DRVRugby  team is back home but luggage all wet and partly damaged - Not happy! #blizzard
negative,"@USAirways worst service at Reagan Int. I rarely post about a company or service, but I am so annoyed. Not weather reLate Flightd…incompetence."
positive,@USAirways @AmericanAir I am so going to miss US Airways.  You always provided great service and NEVER LET ME DOWN.
positive,@usairways 4 flights in 48hrs &amp; I've had the same flight attendant for 3 of those flights. Freaky coincidence! Plus side she's great. :)
negative,@JetBlue You respond to complaints about cultural appropriation with more of it!?  You're  now below Spirit Airlines on my fly list.
negative,@JetBlue I may need to. I had a 40 minute layover and now have a 15 min delay on my first flight.
negative,@AmericanAir have been in call cue for 11 hours. No call yet. Wife in cue for 9 hours.  Got a call but was hung up on.
neutral,@united @annricord January 15th.
negative,@SouthwestAir flight just Cancelled Flighted. Can you help me rebook?
negative,@AmericanAir I'm willing to hold for an agent. you aren't being helpful you keep hanging up on me #americanairsucks #hiremorepoeple
neutral,@SouthwestAir to start 2xdaily #B737-700 flights from #OrangeCounty to #Portland OR on 8AUG #avgeek
negative,@USAirways it's unacceptable the way your agents at the gate treat paying customers!!!
negative,@united I have been given a connection with 2 overnight layovers. No vouchers. Last connection not even confirmed.
negative,@united no wifi on flight ua688. SF to ORD. Really?  Wow
negative,@AmericanAir I understand they're busy &amp; doing their best. My frustration is an automated call changing my flight w/o allowing me to talk
positive,@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!
positive,@JetBlue will call. Thank you!
positive,@united  Great customer service again. Thanks!
negative,"@united need to work on your #United #flierfriendly program. At the very least, clue in your flight attendants."
negative,@SouthwestAir on brd now.frustrated we go 2 #BUF not #ROC.if tld flt was gng 2b held earlier would not be a mess.cng bk unable due to overbk
negative,@JetBlue being told by this guy that he will not help us sit next to our 5 and 8 year old on the flight. #jetblue http://t.co/49FLbgzZkd
neutral,"😢😢 RT“@JetBlue: @Peaches275 Oh no! Unfortunately, the code must be entered at the time of purchase in order to qualify for the points.”"
neutral,@USAirways can you help chairman? I am on flight 686 PHX connect 599 SJC will miss connection can you reroute please.
negative,@united I miss the Continental days.
negative,@JetBlue Noooo!! Why is our previously direct flight from FLL&gt;SFO diverted to LAS? Now arriving almost 2 hrs Late Flightr. 👎
negative,"@USAirways After today,no reason 4 anyone to not approve merger with @AmericanAir,other airlines have no reason to fear losing business to U"
neutral,@JetBlue's CEO battles to appease passengers and Wall Street - Waterbury Republican American http://t.co/Xf9MPnAaJE
negative,@united Ruth was VERY helpful in re-routing us to Punta Cana when Dulles connection failed. Other reps- NOT so helpful.
negative,@AmericanAir The word failure means: an act or instance of failing or proving unsuccessful; lack of success nonperformance of something due.
negative,@USAirways will you hold #475 today for connecting passengers coming from delayed flights?
negative,@SouthwestAir did anyone come into work today? u should have all the pilots and flight attendants answer phones if no one is flying
positive,Happy #TT to my friends @AmericanAir . Hope the weather isn't causing you too many headaches.
positive,@AmericanAir Just followed you.
negative,"@SouthwestAir 2 1/2 hours Late Flight, but I made it to sf! Maybe you can help me get on an earlier flight on Sunday :)"
negative,@AmericanAir The flight was delayed 5 times. Spent almost 40min on the tarmac. I'll reconsider my future flight options.
neutral,@SouthwestAir I've never met my favorite band and it would be sooo amazing to win destination dragons.
negative,@AmericanAir I paid seat upgrade b4 the severe weather.  Got booked on another flight but did not get upgrade. Was calling to inquire. HELP!
positive,@JetBlue I did see that! Working on picking up a trip or two as we type.
positive,"@AmericanAir Yes, thank you. Just not how I wanted to start my vacation!"
positive,"@united thanks for the re-upgrade to 1st class. It may be a 45 min flight, but it is appreciated."
neutral,@united I'll be impressed if I actually get a response! 😜
negative,"@AmericanAir It's not about weather, it's logistics. Why should I hold for 90 minutes when you called me? Why not get more desk agents?"
negative,@USAirways Cancelled Flightled flight 1796 baggage held hostage at CHL. No communication.
neutral,@AmericanAir no not yet. Waiting to be connected to an agent
negative,@USAirways flight is already over. I think the airline should just have the flight attendants actually emphasize that VAPE is still smoking
positive,@united I appreciate your efforts getting me home!
negative,@USAirways being told 'tough break and this is how it is' is unacceptable. You can't even tell me when my bags will be here
negative,@AmericanAir Cancelled Flight my flight saying it is cause of weather condition when it was the only flight that was Cancelled Flight
negative,"@USAirways 
Are you an incompetent airline every day, or just days that end in 'y'?"
neutral,@JetBlue imma need the hook up tho
positive,@united wow you even answered back!  Awesome! @AmericanAir @USAirways That's customer service!!! #usairwaysfail
negative,@united wasting time at baggage claim thanks to your dfw ground crew who checked my bag in without actually checking for space #frustrated
neutral,@AmericanAir Why did  AA973 return to JFK? Thanks :)
negative,@USAirways the only time I tweet is to tell you how horrible you're attendants are. Flight 3841 to LGA. I feel in jail
negative,@AmericanAir terror story my luggage was delayed both ways on an international flight for over 5 days total #angrycustomer
negative,@USAirways always letting me down. 👊
positive,@JetBlue @WSJ #JETBLUE treated me right as a #disabledtraveler thanks for a no hassle flight to @jamaica
negative,@united thnx for quick reply but don't think you can assist. Our intl grp will be put to considerable inconvenience today.
negative,@united how can your app show arriving aircraft is early but departing flight is delayed due to Late Flight arriving aircraft? @unfriendly
negative,@JetBlue  I did.  They have no idea where it is.
negative,@AmericanAir any idea on what the wait time is for refunds from @USAirways? I was told a few days over the phone - but it's well past that.
negative,@USAirways can I at least get a response?  I tried the gate person (sent me the wrong way to cust srvc ) Cust Srvc (when I found them)
neutral,@united  @MrAndyEp like 2 weeks after my flight!?!? Creative!
negative,@united was told by Supervisor that United disconnected their customer support # so there was nobody to address it now. #igiveup
neutral,@USAirways Cancelled Flightled the last part of a ticket and am confused from the email I received whether value remains. Is there someone I can ask?
negative,@USAirways now the plane is 100 degrees and we are burning up. This is completely illegal.
positive,@AmericanAir Aww Thanks AA..DFW was on GMA up here this AM..so i understand ..Btw A.A is my Airline when im able to trv..Love you guys.:)
positive,"@SouthwestAir 

Just realized I had the wrong departure date. Thanks for making changes easy!"
negative,"@united @campilley hahaha. If they weren't an American company, i would say this was great sarcasm!!"
negative,@united that's why I blame your company. Because it had every opportunity to do a job and managed to fail each time for just lazy reasons
negative,@AmericanAir im tryin to book a flight but cant get ahold of anyone!
negative,"Social agencies, this is why we can't have nice things. @JetBlue: Our fleet's on fleek. http://t.co/QRxz0bGbtq"
neutral,@AmericanAir 62 inches !?
neutral,Flight Booking Problems for a travel writers trip I am hosting and need to be happy when I land! Do you have the cute PJs AA does? @united
negative,@united how do you stay in business with such poor service? #poorservice #notgoodenough http://t.co/VO61LME5ja
negative,"@SouthwestAir @HDsportsguy yes I did. I hope for an update soon, need those clothes for a meeting tomorrow."
negative,@USAirways claims flight Cancelled Flighted due to weather at destination but Delta has not Cancelled Flighted flight on same route.
positive,@SouthwestAir beyond ready
positive,“@JetBlue: Our fleet's on fleek. http://t.co/vOUUFRN4jS” YASSS JetBlue ! Tell them !
neutral,Bruh “@JetBlue: Our fleet's on fleek. http://t.co/W9BQiw0aou”
neutral,@virginamerica spruce moose!
neutral,@United Airlines Is Changing Its MileagePlus Program: Winners And Losers http://t.co/F1yvAiO9ul http://t.co/vGlx6Ykwqg
neutral,"@AmericanAir Would love to DM you, but my Twitter app says you're not following me and I can't."
negative,@AmericanAir on hold again....estimated 2 hr hold
negative,@SouthwestAir I sent you my conf number yesterday.
negative,".@united all other ANA ticket holders get to use the lounge, too. But not us. Because United booked us. #grumpykim"
positive,@USAirways We're back at a gate. Opposite of wheels up. Im sure we'll get thete eventually. So thanks.
negative,@AmericanAir has no idea what they're doing. Delay 1 flight from 5pm to 7:40pm then delay another TO THE SAME DESTINATION  @ THE SAME TIME.
neutral,"@united airlines.
On flight UA 1669.
Need to make UA 3781.
Can u hold the plane for us?"
neutral,@JetBlue such a bummer.  But I understand it's a business deal. Thanks for answering me!  Much less sad now.
negative,@united Did somebody say flight upgrade?
positive,@united awesome I'll book my next Christmas vacatinn this December any other ways you want to devalue mileage plus.
negative,@AmericanAir I would purchase it if I was there by choice but you guys Cancelled Flightled my flight and have me stuck at DFW for 7 hours!
negative,"@JetBlue  I shouldn't have to find them, they should tell us. I've flown Jet Blue since your first month. The experience isn't what it was."
positive,@USAirways thank you finally got our bag. Customer services reps were wonderful.
neutral,@united is z and d code airfare refundable?
negative,@USAirways I have a flight voucher/confirmation code but there is no where for me to enter it on your checkout page while Flight Booking Problems. Pls help
neutral,"@AmericanAir I'd like to explore both options, and what the cost might be to change the date and destination."
negative,@united   It's too bad UA has had another unforeseeable operational issue on my return flight.
positive,@JetBlue Beatriz and Susan. Gate 4 MCO.
positive,@VirginAmerica Thank you!!
negative,@USAirways on hold for 2 hours now have been calling since Monday! I have a flight today need help now!!! #worst #NoExcusesAccepted
negative,@JetBlue should've been on one of your flights instead... @SouthwestAir has now lost our bags to add insult to injury
negative,"@USAirways 4 segments, 4/4 delayed. Gnv &gt; CTL . CTL &gt; JAN . JAN &gt; CTL . CTL &gt; GNV. My year off from flying with you guys was the way to go."
neutral,@USAirways Thank you for valuing my feedback. What will you do with it?
positive,@AmericanAir awesome! Thx
negative,"@AmericanAir 3349, was supposed to be in little rock at 10am this morning."
negative,"@united sitting on the runway in Newark, they won't let the plane to a gate. My connection boards in 1 minute. @united hates us all."
negative,@USAirways US 728/Feb 21 Hour 6 on plane when US Airways representative Kim Y enters deteriorating picture. Unhelpful with no assurances.
neutral,@united what would it cost
positive,"Hey @JetBlue, that's a sexy tattoo you got there on your left engine. #Jetbae http://t.co/Ox4w6KtsGI"
negative,@USAirways What was the point of the merger?  Why not just go out of business if your not turning a profit anymore?
neutral,@JetBlue My card company and I explained the issue over the phone when I was in Mexico. I purchased a new ticket over the phone.
neutral,@JetBlue When are you guys doing a dualcam with @RedReserve ?
neutral,@united Can I get a follow? I fly with you for Christmas.
negative,"@SouthwestAir There is no option just to Cancelled Flight? I don't want to change flight, I want to Cancelled Flight."
negative,@united you do realize my wife is waiting on a delayed flight at this very moment.  I'm not sure I understand your tweet.
neutral,@SouthwestAir flying flight 3130 tomorrow at 7:20 from PBI- I have boarding position C-42. Is flight overbooked? Have funeral to attend!
neutral,@AmericanAir why is it most first class passengers now request the sand which from coach ?
neutral,@JetBlue's new CEO seeks the right balance to please passengers and Wall ... - Weyburn Review http://t.co/rtQyjCvTQ3
negative,"@united its ridic you cant transfer credit, you have my $400 &amp; youre taking $200 of it for Cancelled Flightling. Atleast let me keep the credit damn"
positive,"@VirginAmerica another perfect flight.   How come on your planes,  the sun visors can stay down?  Other carriers make you raise them?"
negative,"@united ok, I have that, pretty sure I had it before too but will wait and see what happens...."
neutral,@SouthwestAir @FortuneMagazine. I'm flying on one right this minute
negative,@JetBlue I was not allowed to drop my bag off for my flight that I was running 10min Late Flight for. Turns out it left over an hour Late Flight.
negative,@AmericanAir I just checked the app and it said my flight had been moved back a day? No explanations why. No answer on the 800 number.
negative,@USAirways Really a letter that says you will discuss serving drunks more drinks that doesn't help the current situation
negative,"@SouthwestAir is there a problem with the website? I tried making changes w/ the app and the site but got ""unspecified errors"""
neutral,@americanair Yes to the iOS. I'm running iOS 8.1.3
negative,@USAirways it's be nice to take a flight and have some level of consistency / service from the flight attendants. Quality control???
negative,@SouthwestAir When will the flight resume? I don's see it in the open schedule. :/
neutral,@united WHy is my KTN not showing on my boarding?  Why is TSA pre-check not applying to my boarding pass?
positive,@AmericanAir Eventually the call got through. Not sure what changed. Thank you a lot though!
neutral,@SouthwestAir Do y'all know when the new routes from HOU to Aruba &amp; Puerto Vallarta will be available?
negative,"@AmericanAir lost my cats, missed their flights, kept them crated 30 hrs for a  would-be 5 hr trip. You'll never touch my pets again."
negative,@united accordingly? U dont respond at all
negative,@USAirways I’m still disappointed that it is apparently ok for a Flight Attendant who isn’t up on current policy to argue with a traveler.
negative,"@united ,now you have Cancelled Flightled my wife and daughter's flt?? What's going on? Follow me so I can dm details."
negative,@USAirways just wasted another hour of my life on hold. this is insanity. there has to be another way to use my voucher as payment online
negative,"@USAirways #Overbooked SXM-CLT delayed deplaning extra passengers. #missedconnection #forcedovernight #CLT, no lodging/food. Disappointed."
neutral,@SouthwestAir can you show me some luv?Its 9 degrees and all this snow but Imdetermined to go to #DestinationDragons http://t.co/oXm6cWGaB7
negative,"@USAirways stuck on Tarmac for 30 mins at PHL waiting for someone to load baggage,ridiculous http://t.co/BRCsjBxG2s"
negative,@USAirways @AmericanAir Total lack of cust. service for a mom flying solo w. baby. Will not be flying w. Am. Air again!!!
negative,@united 3866 is at a stand still! No pilot or paperwork for fix over 25mins! Problem was fixed 30mins ago. Flight is as is delayed!
negative,@USAirways your app sucks balls compared to @AmericanAir
negative,@USAirways flight 1735 sitting fully loaded for over an hour. Air conditioning barely working :-(
negative,@AmericanAir now 2 hrs! Guess I should just hang up &amp; give up on using my award miles before prices jump? Hm thanks http://t.co/LE4H2gTzXZ
positive,@united I left my comment with customer care. Thanks for contacting me.
negative,"@VirginAmerica mood lighting on point🙌 Reclining my seat, kickin up my feet💤"
negative,@USAirways this is how concerned your gate attendants at C26 are this afternoon. #nocommunication #nocrew http://t.co/hFjYN2vtVj
positive,"@united thank you. There was one here a few months ago, but none now. Weird you don't have a club in one of the busiest airports in the US."
negative,"@USAirways had a horrible experience flying from Montego Bay to Philadelphia on 2/11. $125 2check a golf bag, constant selling in-flight"
positive,@JetBlue heading to Buffalo... trading the cold in Boston for colder in Buffalo... Maybe the Caribbean next time?
neutral,@USAirways and I would have been willing to give him the benefit of the doubt and say we misunderstood each other until he went on a
neutral,@united same day flights
neutral,@JetBlue's CEO battles to appease passengers and Wall Street - Lake Wylie #Pilot http://t.co/jgor0vdI3S
positive,@united thank you for the help!!
negative,@USAirways we've (flight 4443) been sitting on the tarmac of dca for a while now waiting on a gate. Can we just use another gate?
positive,@SouthwestAir had a great LA flight with Clarence and Frank! Those 2 guys are a hoot! 😜😂 thanks
negative,@AmericanAir got off the phone w/ rep now flight has disappeared. Locator IRRLCD she said I was rescheduled. Help please.
negative,@JetBlue serious attitude. I was in the fault for running a tad behind but before she even knew my name or my flight info she ASSURED Me
neutral,@USAirways yes travel is complete flight 5095 from CLT to CAK Feb 18
neutral,"@AmericanAir #AmericanView
The view of Oregon from seat 31F, flight AA1469 2/22/15 http://t.co/t9JBN9WZtq"
positive,@AmericanAir Flight for tomorrow was Cancelled Flightled. New one booked. Seats taken care of. Just a tweet to commend you all on the service. Thanks!
neutral,@JetBlue Indeed. It was not 😉.
negative,@AmericanAir now you change my gate and don't tell me? What the fuck is wrong with you people. Learn to do your fucken job
negative,"@USAirways that's understandable, my issue is with creating a new flight without the personnel to do it...I changed my plans to accommodate"
negative,@SouthwestAir still no update text #2053 &amp; still no response to email fr1/5/2015 SR #256746438028. Feel like yr losing customer service/care
positive,@AmericanAir many trips coming up!  I will see you soon 😃
negative,@united you already have vomit so you are halfway there
negative,@united If you have had any issues with  United Airlines PLEASE retweet. Paid for a full fight ticket and was given a standby instead.
neutral,@USAirways What's the contact number for the corporate baggage office in Phoenix?
positive,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)"
negative,"@USAirways charged my card 11 times for one airline ticket, now card is on security hold"
negative,@united thanks KP.  What's going on w/4840 tonight.  Bad update online and phone. Can't u give customers good info. Not waste their time?!
positive,@SouthwestAir Thank you Thank you Thank you!!! My last attempt to win #DestinationDragons tickets was a success! I could not be happier!! :)
neutral,@SouthwestAir @TheEllenShow @Imaginedragons this job interferes w/Ellen Show &amp; concerts! will alway treasure my @LiveAtFirefly experience!
positive,@AmericanAir got another flight. Thanks you
negative,@United Hidden City forces me into crappy seat even though exit row is available on the first leg. Your support cannot fix. :-(
positive,@SouthwestAir No worries at all!!! I would rather be safe on the ground than take any chances. Yes! Tomorrow AM if BNA reopens ☺️
negative,@united you guys need some serious training in customer service. Too many better options to put up with the way you guys handle ur mistakes
negative,".@united I think not. I'm not flying you again, if I can help it."
negative,@united Blackmailed me into paying £130 extra or having my return ticket nullified in San Francisco Airport. Terrible service from rep #scam
negative,"@USAirways worst airline ever....left without luggage for 7 days, submit $700 expenses and they offer a refund of $297? #badservice"
neutral,@AmericanAir what's the status of flights for Tuesday out of Dallas??
negative,"@USAirways very disappointed I wasn't ""allowed"" to change seats after checking in early online for a flight tomorrow morning."
neutral,@JetBlue will you Cancelled Flight tonight's 7 pm out of DFW to BOS? #weather
positive,"@united flight ua3576, gate b1. And tell ray I somehow made it on to the 736 flight out of IAH and didn't have to wait for the 917 one. :)"
negative,@USAirways Sitting at the gate on Flight 719 for an hour due to Sabre being down. What backup plan is in place if Sabre cannot be fixed?
negative,@USAirways Pilot pleads to let boarding begin for full flight #1937 while waiting for 4th flight attendant. Denied by mission control. Grrrr
negative,@SouthwestAir my sister and her family had to drive 1200 miles because you did not accommodate a rebook in a timely manner! HORRIBLE
negative,"@united flight Cancelled Flightled,  and the updated one gets me into BWI too Late Flight! I'd be fine with DCA or IAD,  just arriving earlier!  Help!"
negative,"@AmericanAir yes, for tomorrow at 9 am. But I have to work though 😒 I'm really mad about the situation"
neutral,@USAirways any idea when flight 703 to Miami will leave for a second time?
positive,Thanks @SouthwestAir ! #heartlanta
positive,@USAirways Thank you!
negative,"@united I was told it was due to be on UA23 which flies direct to Dublin, so why did it go to London? This is a complete shambles!"
negative,@AmericanAir thx for the apology.   A commitment to fix your broken system would be better.  Actually fixing it would be better still.
negative,@USAirways printer problems causing us to sit on the runway for 45 mins. Get it together.
